FMA, SNOMED-CT Code
54833,725285003
7197,10200004
61824,83251001
7205,18639004
15579,38594006
15578,54444007
7204,9846003
67325,31065004
61826,16630005
24978,82169009
24977,6757004
61825,78277001
9826,72410000
30316,71616004
46620,4866005
58243,88258005
58242,72345007
48996,79368004
54878,71836000
5034,59441001
23394,16051009
233482,283001
73250,746225004
233458,33770006
233446,69691007
73249,746224000
233470,12196003
5944,196821008
5965,279816002
12773,196751009
224269,245353004
5849,245282001
236337,279763008
5932,64038003
74033,127938006
12774,62683002
16676,36086000
223899,35783009
232600,368550005
5934,82365008
15758,245288002
46472,45206002
234280,1187336003
5970,196662004
232719,76838003
5950,245283006
72970,74298007
72969,15046008
5981,40958000
72976,32373000
72975,59144001
62045,244453006
72974,9003000
72973,47876008
50863,18234004
72972,314158000
72971,314157005
7310,44029006
7371,245523005
7370,44714003
7309,362898004
7337,245519002
7383,72481006
7333,245517000
68877,39607008
52753,34080009
9711,70925003
53650,773937007
53649,773936003
54668,721896007
54667,721897003
54879,31389004
46623,244803008
46622,244802003
46621,244800006
19614,52737000
50878,724379002
7214,43981004
7213,20837000
13889,56329008
9600,314399000
59798,44178003
59797,85706002
14544,34402009
5909,62397004
46494,41695006
16597,734356009
16596,734357000
23465,719464007
23464,719465008
58303,58443009
58302,5597008
58301,5665001
7574,113197003
7857,48535007
8012,78247007
8039,25888004
8148,25523003
8093,15339008
8202,59558009
8256,24915002
8310,5953002
8391,22565002
8472,77644006
8532,58830002
8534,43993008
7163,20795001
8533,1193560003
20429,48014002
13396,719627005
13395,719628000
286702,789564000
57419,79535005
57418,45038002
15710,41178004
57717,2695000
57716,80376001
9680,61853006
54708,48498009
54707,54702002
71166,54785003
71168,60051002
46565,89546000
256623,11478001
71167,50800009
19617,25270003
7148,69695003
242787,279245009
9721,13024002
46900,70567001
7210,42774007
83720,37554007
5031,1732005
7196,78961009
15841,35378004
54640,21974007
74049,22718006
54645,47975008
54644,61344008
281502,738830004
7394,44567001
264814,87953007
19667,13648007
7212,63239009
7211,15598003
17558,35039007
4838,72107004
4761,771202006
4751,771203001
18886,63507001
9609,75573002
21387,46027005
13112,71585003
4754,12123001
66645,32764006
66643,430757002
4725,9454009
10951,64131007
4720,35532006
19949,263355003
7235,91134007
7246,39057004
7234,46030003
7100,21814001
7101,87878005
323919,46105003
20462,45292006
256135,261188006
55099,52940008
7236,34202007
24043,1172006
12519,14806007
12520,39976000
12521,91116008
12522,14705001
12523,67479001
12524,88298007
12525,16126006
72065,73903008
13072,61032001
13073,53983007
13074,55492004
13075,71996003
13076,21799000
12526,87141009
13077,65985001
13078,11808007
13079,49967005
13080,69950008
13081,21452006
9139,35769007
9165,56094003
9187,50060007
9209,73138009
9248,86197001
9922,6105006
9945,32430008
9968,71737002
9991,77435000
10014,33766003
10037,48405002
10059,52120002
10081,280849005
11945,3572006
56429,1187337007
54368,35763008
9710,87166008
54683,24999009
